"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"152","EKO",615,"EKO-10","10","Ekön",3.82896076566315e-05
"153","EKO",615,"EKO-11","11","Ekön",3.82896076566315e-05
"154","EKO",615,"EKO-12","12","Ekön",3.82896076566315e-05
"155","EKO",615,"EKO-13","13","Ekön",3.82896076566315e-05
"156","EKO",615,"EKO-14","14","Ekön",3.82896076566315e-05
"157","EKO",615,"EKO-15","15","Ekön",3.82896076566315e-05
"158","EKO",615,"EKO-16","16","Ekön",3.82896076566315e-05
"159","EKO",615,"EKO-17","17","Ekön",3.82896076566315e-05
"160","EKO",615,"EKO-18","18","Ekön",3.82896076566315e-05
"161","EKO",615,"EKO-19","19","Ekön",3.82896076566315e-05
"162","EKO",615,"EKO-20","20","Ekön",3.82896076566315e-05
"163","FUR",383,"FUR-02","02","Furumon",1.10929477644389e-05
"164","FUR",383,"FUR-07","07","Furumon",1.10929477644389e-05
"165","FUR",383,"FUR-08","08","Furumon",1.10929477644389e-05
"166","FUR",383,"FUR-09","09","Furumon",1.10929477644389e-05
"167","FUR",383,"FUR-11","11","Furumon",1.10929477644389e-05
"168","FUR",383,"FUR-13","13","Furumon",1.10929477644389e-05
"169","FUR",383,"FUR-14","14","Furumon",1.10929477644389e-05
"170","FUR",383,"FUR-17","17","Furumon",1.10929477644389e-05
"171","FUR",379,"FUR-18","18","Furumon",1.10929477644389e-05
"172","FUR",379,"FUR-19","19","Furumon",1.10929477644389e-05
"173","FUR",383,"FUR-20","20","Furumon",1.10929477644389e-05
"174","FUR",383,"FUR-03","03","Furumon",1.10929477644389e-05
"175","FUR",383,"FUR-04","04","Furumon",1.10929477644389e-05
"176","FUR",383,"FUR-06","06","Furumon",1.10929477644389e-05
"177","FUR",383,"FUR-10","10","Furumon",1.10929477644389e-05
"178","FUR",383,"FUR-12","12","Furumon",1.10929477644389e-05
"179","FUR",383,"FUR-15","15","Furumon",1.10929477644389e-05
"180","GAL",669,"GAL-01","01","Gålö",7.55582531053114e-05
"181","GAL",669,"GAL-02","02","Gålö",7.55582531053114e-05
"182","GAL",669,"GAL-03","03","Gålö",7.55582531053114e-05
"183","GAL",669,"GAL-04","04","Gålö",7.55582531053114e-05
"184","GAL",669,"GAL-05","05","Gålö",7.55582531053114e-05
"185","GAL",669,"GAL-06","06","Gålö",7.55582531053114e-05
"186","GAL",669,"GAL-07","07","Gålö",7.55582531053114e-05
"187","GAL",669,"GAL-08","08","Gålö",7.55582531053114e-05
"188","GAL",669,"GAL-09","09","Gålö",7.55582531053114e-05
"189","GAL",669,"GAL-10","10","Gålö",7.55582531053114e-05
"190","GAL",669,"GAL-11","11","Gålö",7.55582531053114e-05
"191","GAL",669,"GAL-12","12","Gålö",7.55582531053114e-05
"192","GAL",669,"GAL-13","13","Gålö",7.55582531053114e-05
"193","GAL",669,"GAL-14","14","Gålö",7.55582531053114e-05
"194","GAL",669,"GAL-15","15","Gålö",7.55582531053114e-05
"195","GAL",687,"GAL-16","16","Gålö",7.55582531053114e-05
"196","GAL",687,"GAL-17","17","Gålö",7.55582531053114e-05
"197","GAL",687,"GAL-18","18","Gålö",7.55582531053114e-05
"198","GAL",687,"GAL-19","19","Gålö",7.55582531053114e-05
"199","GAL",687,"GAL-20","20","Gålö",7.55582531053114e-05
"200","GAS",44,"GAS-01","01","Gåsholmen ",1.61109656202686e-05
"201","GAS",46,"GAS-02","02","Gåsholmen ",1.61109656202686e-05
"202","GAS",46,"GAS-03","03","Gåsholmen ",1.61109656202686e-05
"203","GAS",47,"GAS-04","04","Gåsholmen ",1.61109656202686e-05
"204","GAS",48,"GAS-05","05","Gåsholmen ",1.61109656202686e-05
"205","GAS",49,"GAS-06","06","Gåsholmen ",1.61109656202686e-05
"206","GAS",50,"GAS-07","07","Gåsholmen ",1.61109656202686e-05
"207","GAS",51,"GAS-08","08","Gåsholmen ",1.61109656202686e-05
"208","GAS",52,"GAS-09","09","Gåsholmen ",1.61109656202686e-05
"209","GAS",53,"GAS-10","10","Gåsholmen ",1.61109656202686e-05
"210","GAS",56,"GAS-11","11","Gåsholmen ",1.61109656202686e-05
"211","GAS",56,"GAS-12","12","Gåsholmen ",1.61109656202686e-05
"212","GAS",56,"GAS-13","13","Gåsholmen ",1.61109656202686e-05
"213","GAS",56,"GAS-14","14","Gåsholmen ",1.61109656202686e-05
"214","GAS",56,"GAS-15","15","Gåsholmen ",1.61109656202686e-05
"215","GAS",56,"GAS-16","16","Gåsholmen ",1.61109656202686e-05
"216","GAS",56,"GAS-17","17","Gåsholmen ",1.61109656202686e-05
"217","GAS",56,"GAS-18","18","Gåsholmen ",1.61109656202686e-05
"218","GAS",56,"GAS-19","19","Gåsholmen ",1.61109656202686e-05
"219","GAS",66,"GAS-20","20","Gåsholmen ",1.61109656202686e-05
"220","GOT",176,"GOT-01","01","Gottskär",5.87206831965681e-06
"221","GOT",177,"GOT-05","05","Gottskär",5.87206831965681e-06
"222","GOT",178,"GOT-06","06","Gottskär",5.87206831965681e-06
"223","GOT",179,"GOT-09","09","Gottskär",5.87206831965681e-06
"224","GRO",193,"GRO-01","01","Grötvik",8.52584674209464e-06
"225","GRO",193,"GRO-03","03","Grötvik",8.52584674209464e-06
"226","GRO",193,"GRO-04","04","Grötvik",8.52584674209464e-06
"227","GRO",193,"GRO-09","09","Grötvik",8.52584674209464e-06
"228","GRO",193,"GRO-12","12","Grötvik",8.52584674209464e-06
"229","GRO",193,"GRO-14","14","Grötvik",8.52584674209464e-06
"230","GRO",193,"GRO-15","15","Grötvik",8.52584674209464e-06
"231","GRO",193,"GRO-16","16","Grötvik",8.52584674209464e-06
"232","GRO",193,"GRO-18","18","Grötvik",8.52584674209464e-06
"233","GRO",193,"GRO-19","19","Grötvik",8.52584674209464e-06
"234","GRO",193,"GRO-02","02","Grötvik",8.52584674209464e-06
"235","GRO",193,"GRO-05","05","Grötvik",8.52584674209464e-06
"236","GRO",193,"GRO-06","06","Grötvik",8.52584674209464e-06
"237","GRO",193,"GRO-07","07","Grötvik",8.52584674209464e-06
"238","GRO",193,"GRO-08","08","Grötvik",8.52584674209464e-06
"239","GRO",197,"GRO-10","10","Grötvik",8.52584674209464e-06
"240","GRO",193,"GRO-11","11","Grötvik",8.52584674209464e-06
"241","GRO",193,"GRO-17","17","Grötvik",8.52584674209464e-06
"242","HAN",744,"HAN-01","01","Hanko",0.000322559205142274
"243","HAN",744,"HAN-02","02","Hanko",0.000322559205142274
"244","HAN",744,"HAN-03","03","Hanko",0.000322559205142274
"245","HAN",744,"HAN-04","04","Hanko",0.000322559205142274
"246","HAN",744,"HAN-05","05","Hanko",0.000322559205142274
"247","HAN",744,"HAN-06","06","Hanko",0.000322559205142274
"248","HAN",744,"HAN-07","07","Hanko",0.000322559205142274
"249","HAN",744,"HAN-08","08","Hanko",0.000322559205142274
"250","HAN",744,"HAN-09","09","Hanko",0.000322559205142274
"251","HAN",744,"HAN-10","10","Hanko",0.000322559205142274
"252","HAN",749,"HAN-11","11","Hanko",0.000322559205142274
"253","HAN",749,"HAN-12","12","Hanko",0.000322559205142274
"254","HAN",749,"HAN-13","13","Hanko",0.000322559205142274
"255","HAN",749,"HAN-14","14","Hanko",0.000322559205142274
"256","HAN",754,"HAN-16","16","Hanko",0.000322559205142274
"257","HAN",754,"HAN-17","17","Hanko",0.000322559205142274
"258","HAN",754,"HAN-18","18","Hanko",0.000322559205142274
"259","HAN",754,"HAN-19","19","Hanko",0.000322559205142274
"260","HAN",754,"HAN-20","20","Hanko",0.000322559205142274
"261","HOG",200,"HOG-01","01","Höganäs",1.62055665111083e-05
"262","HOG",216,"HOG-02","02","Höganäs",1.62055665111083e-05
"263","HOG",216,"HOG-03","03","Höganäs",1.62055665111083e-05
"264","HOG",203,"HOG-04","04","Höganäs",1.62055665111083e-05
"265","HOG",204,"HOG-05","05","Höganäs",1.62055665111083e-05
"266","HOG",205,"HOG-06","06","Höganäs",1.62055665111083e-05
"267","HOG",217,"HOG-07","07","Höganäs",1.62055665111083e-05
"268","HOG",216,"HOG-08","08","Höganäs",1.62055665111083e-05
