"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"179","BJO","TempWarm-16psu",179,"B2",0.00310714198353602,0.00309309252165032,"lea_offset"
"180","KUR","TempWarm-16psu",180,"B2",0.00219706530107888,0.00201353125904609,"lea_offset"
"181","VIK","TempWarm-16psu",181,"B2",0.0020764932362471,0.00174224074816707,"lea_offset"
"182","BAR","TempWarm-16psu",182,"B2",0.00283864896476001,0.00277734554897537,"lea_offset"
"183","HOR","TempWarm-16psu",183,"B2",0.00296756512217168,0.00241503019495548,"lea_offset"
"184","VAT","TempWarm-16psu",184,"B2",0.00473462098312114,0.0038294405099992,"lea_offset"
"185","BJO","TempWarm-5psu",185,"B2",0.00274034492468812,0.00193176360788139,"lea_offset"
"186","KUR","TempWarm-5psu",186,"B2",0.00204460645309676,0.00140459623107035,"lea_offset"
"187","KAL","TempWarm-5psu",187,"B2",0.0014758359932852,0.00103357418254857,"lea_offset"
"188","HOR","TempWarm-5psu",188,"B2",0.00275992549607968,0.0016235670493944,"lea_offset"
"189","VAT","TempWarm-5psu",189,"B2",0.00530098079031525,0.00369178293399745,"lea_offset"
"190","VIK","TempWarm-5psu",190,"B2",0.00245228848786382,0.00196635409612249,"lea_offset"
"191","HOG","TempWarm-5psu",191,"B2",0.00271992555507986,0.00199550907396906,"lea_offset"
"192","BAR","TempWarm-5psu",192,"B2",0.00296079863055233,0.00206471586352357,"lea_offset"
"193","HOR","TempWarm-16psu",193,"B3",0.00300929315354462,0.00247382598765521,"lea_offset"
"194","KUR","TempWarm-16psu",194,"B3",0.0022517501660963,0.00210542310319618,"lea_offset"
"195","BJO","TempWarm-16psu",195,"B3",0.00315676610190184,0.00314910526789254,"lea_offset"
"196","KAL","TempWarm-16psu",196,"B3",0.0017808628410256,0.00194907431807451,"lea_offset"
"197","BAR","TempWarm-16psu",197,"B3",0.00287491310716948,0.00283151586779205,"lea_offset"
"198","VIK","TempWarm-16psu",198,"B3",0.00210994191058884,0.00179097285415215,"lea_offset"
"199","HOG","TempWarm-16psu",199,"B3",0.00262853343909853,0.00269043883253928,"lea_offset"
"200","VAT","TempWarm-16psu",200,"B3",0.00474673339939761,0.00386680697037501,"lea_offset"
"201","VAT","TempWarm-5psu",201,"B3",0.00531800798410568,0.00372369168011104,"lea_offset"
"202","BJO","TempWarm-5psu",202,"B3",0.0027915885605202,0.00200333168846464,"lea_offset"
"203","KUR","TempWarm-5psu",203,"B3",0.00208482762190638,0.0014614543948591,"lea_offset"
"204","HOG","TempWarm-5psu",204,"B3",0.00274163093775396,0.00203325590845275,"lea_offset"
"205","HOR","TempWarm-5psu",205,"B3",0.00280604238508143,0.00168347147693058,"lea_offset"
"206","KAL","TempWarm-5psu",206,"B3",0.00151366073745836,0.00108483277954402,"lea_offset"
"207","VIK","TempWarm-5psu",207,"B3",0.0024847797217752,0.00201455200521554,"lea_offset"
"208","BAR","TempWarm-5psu",208,"B3",0.00298335061905675,0.00210251810740575,"lea_offset"
"209","VIK","TempWarm-16psu",209,"B3",0.00211305510885099,0.00179494778329774,"lea_offset"
"210","BAR","TempWarm-16psu",210,"B3",0.00287098589651703,0.00282550459494571,"lea_offset"
"211","HOG","TempWarm-16psu",211,"B3",0.00261900003951134,0.00266416500207442,"lea_offset"
"212","KUR","TempWarm-16psu",212,"B3",0.00224635570814342,0.00208910576626014,"lea_offset"
"213","BJO","TempWarm-16psu",213,"B3",0.0031552658265847,0.00314952533376098,"lea_offset"
