"pop","site","site_abbrev","lat","long","pop_order","trt","tank_ID","surv_mean","surv_sd","len_mean","len_sd","weigh_mean","weigh_sd"
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","C3",1,0,2.98817938420348,0.170709018633443,0.326395758319155,0.227746971030685
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","C4",1,0,2.95895398481973,0.374535140670701,-0.00649895178197073,0.0536630303541992
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","A3",0.5,0.707106781186548,2.06346483704974,NA,-0.0865051903114187,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","A4",0.5,0.707106781186548,2.93521126760563,NA,-0.02,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","B1",1,0,1.67978339709868,0.151998931971343,-0.286884248442368,0.0337479652917353
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","A2",1,0,2.81877352827581,1.02377496874633,-0.0876373589869651,0.130007527754531
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","A1",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","A2",0.5,0.707106781186548,2.44528875379939,NA,0.14745308310992,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","C3",1,0,2.30327733860343,1.03352646294971,0.0966494386027445,0.246170448470825
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","C4",1,0,2.37066981838424,0.436475914447096,-0.132172799715263,0.101106636178499
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","A1",1,0,2.45626578959912,0.749002664165473,0.16474617699315,0.27353720437249
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","A1",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","A2",0.5,0.707106781186548,3.29943502824859,NA,0.240963855421687,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","C4",1,0,5.15881279927035,3.27498410923194,0.0791366906474821,0.0915677846140854
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","C1",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","C2",0.5,0.707106781186548,4.10759493670886,NA,1.29761904761905,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","C3",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-7psu","C4",1,0,5.27979115479115,5.18472582741021,-0.118997599039616,0.601210537545465
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","A1",1,0,4.01803519061584,2.0182610854219,0.206422836752899,0.243986532527169
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","A2",1,0,2.54190339452364,0.872966142270526,-0.0340989150345217,0.288940350210087
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","C1",1,0,4.43363095238095,2.45677516772969,0.378101402373247,0.220446450661178
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","C2",1,0,4.94780177101134,1.97093519777055,0.309965896172793,0.292060019512443
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempControl-21psu","C3",1,0,3.7464267866067,0.977581309082691,0.208695652173913,0.295140221712646
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","B4",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-16psu","B2",0.5,0.707106781186548,3.68115942028985,NA,0.074074074074074,NA
"KUR","Kurland","KUR",55.395972,12.982861,5,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
