bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
42,A2,HOG_gen-06,042_A2_HOG_gen-06_TempControl-7psu,yes,7psu,TempControl,5,27.6,4,4,0.20,NA,NA,NA,NA,NA,NA,NA,15.5,0.6,10.5,16.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,1.90,0.00,0.00,3.94,N,Y,TRUE,hole on rotten leaf
43,A2,BJO_gen-06,043_A2_BJO_gen-06_TempControl-7psu,yes,7psu,TempControl,5,42.5,4,2,0.25,12.5,4.4,NA,NA,NA,NA,NA,6.6,12.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,0.32,0.00,0.00,2.78,N,Y,TRUE,
45,A2,BAR_gen-06,045_A2_BAR_gen-06_TempControl-7psu,yes,7psu,TempControl,4,66.0,5,3,0.30,3.3,13.6,NA,NA,NA,NA,NA,30.9,10.0,29.1,NA,NA,NA,1,2,2.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20,1.06,0.02,0.00,3.28,N,Y,TRUE,
46,A2,VIK_gen-06,046_A2_VIK_gen-06_TempControl-7psu,,7psu,TempControl,5,46.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,11.0,8.9,10.1,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,0.00,1.30,0.00,3.57,N,Y,TRUE,"only side shoot was alive, main shoot was DEAD"
47,A2,KAL_gen-06,047_A2_KAL_gen-06_TempControl-7psu,,7psu,TempControl,4,65.8,5,3,0.45,36.0,13.0,NA,NA,NA,NA,NA,30.6,6.7,45.6,NA,NA,NA,1,3,11.7,4.2,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,1.13,0.70,0.00,4.28,N,Y,TRUE,
48,A2,HOR_gen-06,048_A2_HOR_gen-06_TempControl-7psu,,7psu,TempControl,5,33.5,3,3,0.30,NA,NA,NA,NA,NA,NA,NA,14.0,5.8,13.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.21,0.00,0.00,1.18,Y,Y,TRUE,"very sad plant, mostly dead"
49,A2,HOG_gen-07,049_A2_HOG_gen-07_TempControl-21psu,,21psu,TempControl,5,50.0,5,3,0.20,16.0,4.7,NA,NA,NA,NA,NA,31.2,11.4,36.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,1.11,0.00,0.00,3.03,Y,Y,TRUE,
50,A2,BJO_gen-07,050_A2_BJO_gen-07_TempControl-21psu,yes,21psu,TempControl,4,34.0,4,2,0.35,19.9,4.9,NA,NA,NA,NA,NA,27.6,10.7,NA,NA,NA,NA,1,1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,0.69,0.07,0.00,2.38,N,Y,TRUE,
51,A2,HOR_gen-07,051_A2_HOR_gen-07_TempControl-21psu,,21psu,TempControl,5,36.8,5,2,0.40,7.2,20.8,0.0,NA,NA,NA,NA,26.1,18.9,NA,NA,NA,NA,1,3,13.3,4.7,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,1.15,0.12,0.00,2.34,N,Y,TRUE,
52,A2,KAL_gen-07,052_A2_KAL_gen-07_TempControl-21psu,yes,21psu,TempControl,5,62.2,5,3,0.40,28.2,50.8,NA,NA,NA,NA,NA,36.2,8.6,6.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,1.17,0.00,0.00,2.65,N,Y,TRUE,
