"pop","trt","cc","lea_offset","rda_offset","gf_offset","env_dist","pop_trt","tank_ID","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C1",121.6,1.79086892488954,-1.26,-0.281879194630872,0.945454545454546
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C2",84.4,1.75833333333333,-0.79,-0.250793650793651,0.447852760736196
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C2",45.1,3.5234375,-0.26,-0.262626262626263,0.697674418604651
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C3",86.8,1.57246376811594,-0.36,-0.0774193548387097,0.339041095890411
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C3",133.5,3.03409090909091,0.49,0.270718232044199,0.666666666666667
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C4",169.6,2.67930489731438,-0.25,-0.0606796116504854,0.653846153846154
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C4",166.2,2.06203473945409,-1,-0.203665987780041,0.707423580786026
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","A1",169.3,2.98589065255732,1.25,0.358166189111748,0.52411575562701
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","A1",99.8,1.92664092664093,-0.0800000000000001,-0.028673835125448,0.921985815602837
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","A2",244.8,3.54269175108538,0.0199999999999996,0.00429184549356214,1.21782178217822
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C1",100.3,1.61254019292605,-0.17,-0.0598591549295774,0.992537313432836
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","A2",130.3,2.09485530546624,-0.58,-0.179566563467492,0.79054054054054
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C1",121.6,1.79086892488954,-1.26,-0.281879194630872,0.945454545454546
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C2",84.4,1.75833333333333,-0.79,-0.250793650793651,0.447852760736196
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C2",45.1,3.5234375,-0.26,-0.262626262626263,0.697674418604651
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C3",86.8,1.57246376811594,-0.36,-0.0774193548387097,0.339041095890411
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C3",133.5,3.03409090909091,0.49,0.270718232044199,0.666666666666667
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C4",169.6,2.67930489731438,-0.25,-0.0606796116504854,0.653846153846154
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"KAL_TempControl_21psu","C4",166.2,2.06203473945409,-1,-0.203665987780041,0.707423580786026
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C2",98,2.10752688172043,0.19,0.0875576036866359,0.503184713375796
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C1",143.6,2.84356435643564,-0.66,-0.199395770392749,0.539877300613497
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C3",139.9,3.10888888888889,0.97,0.487437185929648,1.14492753623188
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C2",138.6,2.36923076923077,0.890000000000001,0.193899782135076,0.421052631578947
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C4",159.9,3.22379032258064,-0.14,-0.0444444444444445,0.545945945945946
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C3",119,2.86746987951807,0.42,0.165354330708661,0.356807511737089
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","C4",137.4,2.69411764705882,0.0999999999999996,0.031446540880503,0.631840796019901
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"KAL_TempControl_7psu","A2",160.9,2.44528875379939,0.55,0.14745308310992,0.461224489795918
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C2",98,2.10752688172043,0.19,0.0875576036866359,0.503184713375796
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C1",143.6,2.84356435643564,-0.66,-0.199395770392749,0.539877300613497
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C3",139.9,3.10888888888889,0.97,0.487437185929648,1.14492753623188
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C2",138.6,2.36923076923077,0.890000000000001,0.193899782135076,0.421052631578947
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C4",159.9,3.22379032258064,-0.14,-0.0444444444444445,0.545945945945946
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C3",119,2.86746987951807,0.42,0.165354330708661,0.356807511737089
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","C4",137.4,2.69411764705882,0.0999999999999996,0.031446540880503,0.631840796019901
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"KAL_TempControl_7psu","A2",160.9,2.44528875379939,0.55,0.14745308310992,0.461224489795918
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","A4",104.2,2.93521126760563,-0.03,-0.02,1.19402985074627
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B3",93.3,1.77714285714286,-0.66,-0.229965156794425,0.753968253968254
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","A3",120.3,2.06346483704974,-0.25,-0.0865051903114187,1.12903225806452
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B2",32.2,0.7,-0.3,-0.143540669856459,0.52991452991453
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B4",107.2,2.39285714285714,-0.21,-0.0937500000000002,0.915094339622641
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B1",131.9,1.78726287262873,-1.33,-0.310747663551402,0.705202312138728
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B1",128.3,1.57230392156863,-1.01,-0.263020833333333,1.39830508474576
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B4",106.5,1.52797704447633,-1.5,-0.348027842227378,0.812903225806452
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"KAL_TempWarm_16psu","B3",105.8,1.79322033898305,0.56,0.164705882352941,0.429602888086643
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"KAL_TempWarm_16psu","A4",104.2,2.93521126760563,-0.03,-0.02,1.19402985074627
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"KAL_TempWarm_16psu","B3",93.3,1.77714285714286,-0.66,-0.229965156794425,0.753968253968254
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"KAL_TempWarm_16psu","A3",120.3,2.06346483704974,-0.25,-0.0865051903114187,1.12903225806452
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"KAL_TempWarm_16psu","B2",32.2,0.7,-0.3,-0.143540669856459,0.52991452991453
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"KAL_TempWarm_16psu","B4",107.2,2.39285714285714,-0.21,-0.0937500000000002,0.915094339622641
