"tank_ID","pop","trt","cc","method","offset","isAlive","surv","tank_num"
"A2","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,2
"A2","BJO","TempControl-7psu","full","lea",0.00860988699958254,1,1,2
"A2","KUR","TempControl-7psu","mll","lea",0.00489546564716927,1,1,2
"A2","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,2
"A2","HOG","TempControl-21psu","full","lea",0.00819072364121176,1,1,2
"A2","HOR","TempControl-21psu","full","rda",3.91811161457199,1,1,2
"A2","VAT","TempControl-7psu","mll","gf",0.048850145099321,0,0,2
"A2","HOG","TempControl-7psu","mll","rda",1.40036534312938,1,1,2
"A2","VAT","TempControl-21psu","full","rda",1.38554045987025,1,1,2
"A2","HOR","TempControl-7psu","full","gf",0.042634624078671,1,1,2
"A2","BJO","TempControl-7psu","mll","rda",0.345922510862077,1,1,2
"A2","KAL","TempControl-21psu","full","gf",0.0775834372250432,1,1,2
"A2","VIK","TempControl-7psu","full","gf",0.0604427054956303,1,1,2
"A2","VIK","TempControl-7psu","full","lea",0.00899849955586203,1,1,2
"A2","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,2
"A2","HOR","TempControl-21psu","full","gf",0.0822463901090242,1,1,2
"A2","VIK","TempControl-21psu","mll","rda",0.803166844691957,1,1,2
"A2","HOR","TempControl-21psu","mll","lea",0.012309100498949,1,1,2
"A2","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,2
"A2","HOG","TempControl-7psu","full","rda",1.27226445721745,1,1,2
"A2","KAL","TempControl-7psu","full","rda",0.0874772162800667,0,0,2
"A2","BAR","TempControl-21psu","mll","rda",1.85015490733416,1,1,2
"A2","KUR","TempControl-7psu","mll","gf",0.0325305541759595,1,1,2
"A2","KAL","TempControl-21psu","mll","rda",2.93478273197384,1,1,2
"A2","KUR","TempControl-7psu","full","gf",0.0446089042446935,1,1,2
"A2","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,2
"A2","HOR","TempControl-7psu","mll","gf",0.0306280848445055,1,1,2
"A2","KUR","TempControl-7psu","full","rda",0.194293917747448,1,1,2
"A2","KUR","TempControl-21psu","full","rda",3.24806259688291,1,1,2
"A2","HOR","TempControl-21psu","mll","gf",0.054211245591984,1,1,2
"A2","BJO","TempControl-21psu","full","rda",3.93335268489373,1,1,2
"A2","HOR","TempControl-7psu","full","lea",0.00399932483018119,0,0,2
