"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"gf","len","cf","rel","mll",-0.289483841253479,3.52604273241228e-05,-0.666429178631594,8.63658695058609e-27,-0.507851600615302,5.75456518627578e-23,0.0838008943468692,TRUE,3.22255650431444e-21,TRUE
"env","len","cf","rel","mll",-0.211578999478344,0.00276901652876038,-0.644642310875018,1.21101668621448e-24,-0.52060857090974,4.71934481725437e-24,0.0447656730202567,TRUE,2.87880033852516e-22,TRUE
"lea","len","cf","rel","full",-0.275868127502084,8.3599317359373e-05,-0.641637552520076,2.32094951618672e-24,-0.490691782166147,1.51121963473499e-21,0.0761032237715062,TRUE,7.85834210062195e-20,TRUE
"rda","len","cf","rel","full",-0.175321839901842,0.0134908110239028,-0.224413742689065,0.00148076665464325,-0.135980271855314,0.008239411118721,0.0307377475465671,TRUE,0.313097622511398,FALSE
"gf","len","cf","rel","full",-0.280361626069313,6.31846727137486e-05,-0.669694602143511,3.97091166041291e-27,-0.527269289913031,1.2481961531269e-24,0.0786026413722293,TRUE,7.98845538001219e-23,TRUE
"env","len","cf","rel","full",-0.211578999478344,0.00276901652876038,-0.644642310875018,1.21101668621448e-24,-0.52060857090974,4.71934481725437e-24,0.0447656730202567,TRUE,2.87880033852516e-22,TRUE
"lea","len","cg","rel","mll",0.51512064184417,8.1922373086026e-15,0.056987592348398,0.425185286858782,0.0128534810547498,0.796276235962322,0.26534927565395,FALSE,1,FALSE
"rda","len","cg","rel","mll",0.0234045535198168,0.743447855143649,0.0538213997490268,0.451398726648251,0.0398457912697244,0.42352258788565,0.000547773125461964,FALSE,1,FALSE
"gf","len","cg","rel","mll",0.506614459107417,2.63584863043627e-14,0.16804299884783,0.0179592945554266,0.111182611123586,0.0255380916615576,0.2566582101767,TRUE,0.842757024831399,FALSE
"env","len","cg","rel","mll",0.457838993091977,1.18779254906177e-11,0.156156216059197,0.0280279271814284,0.0889032439620195,0.0741525244568381,0.209616543595476,FALSE,1,FALSE
"lea","len","cg","rel","full",0.519716260875016,4.29804475086514e-15,0.093608801904512,0.189609605435454,0.0386675555063723,0.437359766544162,0.270104991817907,FALSE,1,FALSE
"rda","len","cg","rel","full",0.046572330291601,0.514701078066987,0.0477974199968214,0.503691178617315,0.0211011313982143,0.671691282499284,0.00216898194878998,FALSE,1,FALSE
"gf","len","cg","rel","full",0.497457089200987,8.94884514117288e-14,0.164785369457777,0.0203442953223479,0.107540791491407,0.0307713822681313,0.247463555596319,TRUE,0.907479441819057,FALSE
"env","len","cg","rel","full",0.457838993091977,1.18779254906177e-11,0.156156216059197,0.0280279271814284,0.0889032439620195,0.0741525244568381,0.209616543595476,FALSE,1,FALSE
"lea","weigh","cf","abs","mll",-0.71323055078387,4.48855493779572e-32,-0.62378751852823,9.57542157936797e-23,-0.468790434934988,8.34486859491575e-20,0.508697818571462,TRUE,4.08898561150872e-18,TRUE
"rda","weigh","cf","abs","mll",-0.0661771488314095,0.35428229347981,-0.0718124608520539,0.314708310300017,-0.0533421987975393,0.299997103339459,0.00437941502745453,FALSE,1,FALSE
"gf","weigh","cf","abs","mll",-0.717774717306938,1.20869771739153e-32,-0.66649552976246,8.50213030990931e-27,-0.509996577921447,3.79522073324534e-23,0.515200544805054,TRUE,2.16327581794984e-21,TRUE
"env","weigh","cf","abs","mll",-0.675096318026284,1.07439470523797e-27,-0.650012013108693,3.71819525200185e-25,-0.503561646003013,1.31620148483888e-22,0.455755038612645,TRUE,7.23910816661382e-21,TRUE
"lea","weigh","cf","abs","full",-0.721637890972503,3.88179062434833e-33,-0.678378701342836,4.78912571383349e-28,-0.518802274230882,6.74957513705769e-24,0.520761245687242,TRUE,3.98224933086403e-22,TRUE
"rda","weigh","cf","abs","full",-0.101075152226143,0.156518148950057,-0.151177892101047,0.0335009894840716,-0.104257186432862,0.0427936440096911,0.0102161863975381,TRUE,1,FALSE
"gf","weigh","cf","abs","full",-0.718513191889631,9.74229855617839e-33,-0.680906363471074,2.5521838837484e-28,-0.521285932164312,4.1254568481747e-24,0.516261206919425,TRUE,2.55778324586831e-22,TRUE
"env","weigh","cf","abs","full",-0.675096318026284,1.07439470523797e-27,-0.650012013108693,3.71819525200185e-25,-0.503561646003013,1.31620148483888e-22,0.455755038612645,TRUE,7.23910816661382e-21,TRUE
"lea","weigh","cg","abs","mll",-0.288327428661967,3.80089686622178e-05,-0.140440737242785,0.0484436646255512,-0.102695763799743,0.0389199321941143,0.0831327061188214,TRUE,1,FALSE
"rda","weigh","cg","abs","mll",0.289306276793164,3.56699255074271e-05,0.368016295021078,9.60466167384369e-08,0.260376551133932,1.64345043589253e-07,0.0836981217919227,TRUE,6.40945669998086e-06,TRUE
