"trt","pop","cc","trt_pop","surv","order","coast","trt_name","method","offset","trt_ord","pop_ord","metric","cf_abs","cg_rel","cg_abs","cf_rel"
"TempControl-7psu","HOR","full","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","rda",0.496378346506273,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","full","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","gf",0.042634624078671,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","full","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","env",2.246,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","mll","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","lea",0.00500484470606123,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","mll","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","rda",0.2778420894863,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","mll","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","gf",0.0306280848445055,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","HOR","mll","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","env",2.246,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
"TempControl-7psu","KAL","full","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","lea",0.00207720689029909,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","full","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","rda",0.0874772162800667,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","full","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","gf",0.0336601636251709,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","full","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","env",1.2321,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","mll","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","lea",0.00257395160581669,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","mll","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","rda",0.151778614193923,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","mll","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","gf",0.0268338847263667,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KAL","mll","TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast","env",1.2321,2,6,"surv",0,-0.333333333333333,-0.333333333333333,0
"TempControl-7psu","KUR","full","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","lea",0.0039312205209114,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","full","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","rda",0.194293917747448,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","full","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","gf",0.0446089042446935,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","full","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","env",1.8042,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","mll","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","lea",0.00489546564716927,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","mll","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","rda",0.333591858219086,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","mll","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","gf",0.0325305541759595,2,5,"surv",0,0,0,0
"TempControl-7psu","KUR","mll","TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast","env",1.8042,2,5,"surv",0,0,0,0
"TempControl-7psu","VAT","full","TempControl_7psu-VAT",0.0833333333333333,2,"West","Current E Coast","lea",0.0136677351124229,2,1,"surv",0,-0.916666666666667,-0.916666666666667,0
