"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"154","LOM",273,"LOM-07","07","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"155","LOM",274,"LOM-10","10","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"156","LOM",275,"LOM-11","11","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"157","LOM",277,"LOM-12","12","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"158","LOM",278,"LOM-14","14","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"159","LOM",279,"LOM-16","16","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"160","LOM",280,"LOM-17","17","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"161","LOM",281,"LOM-18","18","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"162","LOM",282,"LOM-19","19","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"163","LOM",284,"LOM-20","20","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"164","NOV",138,"NOV-01","01","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"165","NOV",144,"NOV-04","04","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"166","NOV",147,"NOV-06","06","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"167","NOV",146,"NOV-08","08","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"168","NOV",148,"NOV-13","13","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"169","NOV",149,"NOV-14","14","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"170","NOV",150,"NOV-15","15","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"171","NOV",152,"NOV-18","18","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"172","NOV",153,"NOV-20","20","Sälöfjorden","N. Överön",11728779,57795244,1.10763193606798,-0.600992561019124,0.537111702435665,-0.512819553840187
"173","NYN",659,"NYN-02","02","Nynäshamn","Nynäshamn",179542217,588811079,-4.30745752915324,0.337331308442991,-1.18760645423953,-0.805513733154633
"174","NYN",649,"NYN-03","03","Nynäshamn","Nynäshamn",179542217,588811079,-4.30745752915324,0.337331308442991,-1.18760645423953,-0.805513733154633
"175","OSK",471,"OSK-01","01","Oskarshamn","Oskarshamn",16583068,57031518,-1.59991279654263,0.337331308442991,-1.18760645423953,-0.512819553840187
"176","OSK",474,"OSK-06","06","Oskarshamn","Oskarshamn",16583068,57031518,-1.59991279654263,0.337331308442991,-1.18760645423953,-0.512819553840187
"177","RAU",714,"RAU-01","01","Finland","Rauma",21319105,61052267,-0.92302661338998,-0.600992561019124,-1.50119157363503,-0.805513733154633
"178","SBR",154,"SBR-01","01","Göteborgs S skärgård","S. Brännö",1179115,5764159,1.10763193606798,-0.600992561019124,0.38031914273792,-1.97629045041242
"179","SBR",157,"SBR-02","02","Göteborgs S skärgård","S. Brännö",1179115,5764159,1.10763193606798,-0.600992561019124,0.38031914273792,-1.97629045041242
"180","SBR",159,"SBR-03","03","Göteborgs S skärgård","S. Brännö",1179115,5764159,1.10763193606798,-0.600992561019124,0.38031914273792,-1.97629045041242
"181","SBR",160,"SBR-04","04","Göteborgs S skärgård","S. Brännö",1179115,5764159,1.10763193606798,-0.600992561019124,0.38031914273792,-1.97629045041242
