"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","max_temp_curr","sal_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"70","BAR",259,"BAR-15","15","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"71","BAR",260,"BAR-16","16","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"72","BAR",261,"BAR-17","17","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"73","BAR",262,"BAR-18","18","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"74","BAR",263,"BAR-19","19","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"75","BAR",264,"BAR-20","20","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"76","BJN",394,"BJN-02","02","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"77","BJN",394,"BJN-08","08","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"78","BJN",394,"BJN-10","10","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"79","BJN",394,"BJN-14","14","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"80","BJN",394,"BJN-15","15","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"81","BJN",394,"BJN-16","16","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"82","BJN",394,"BJN-21","21","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"83","BJN",394,"BJN-22","22","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"84","BJN",394,"BJN-27","27","Karlskrona","Björkenäs",15.925111,56.159447,15,24,7,6,-0.71393814582199,0.251087555773246,-0.620947143365476,-0.292287566473705
"85","BJO",703,"BJO-01","01","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"86","BJO",703,"BJO-02","02","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"87","BJO",703,"BJO-04","04","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"88","BJO",703,"BJO-05","05","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"89","BJO",703,"BJO-06","06","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"90","BJO",703,"BJO-07","07","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"91","BJO",703,"BJO-08","08","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"92","BJO",703,"BJO-09","09","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"93","BJO",703,"BJO-10","10","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"94","BJO",703,"BJO-12","12","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"95","BJO",703,"BJO-13","13","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"96","BJO",703,"BJO-14","14","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"97","BJO",703,"BJO-15","15","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"98","BJO",703,"BJO-16","16","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"99","BJO",703,"BJO-20","20","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"100","BJO",703,"BJO-03","03","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"101","BJO",703,"BJO-17","17","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"102","BJO",703,"BJO-18","18","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
"103","BJO",703,"BJO-19","19","Östersjö","Björkö",19.07867998,59.83484289,16,22,5,4,-0.225823264199097,-1.81704189769634,-0.957142562877239,-1.04573996005037
