"trt","bagnum","tank","pop","genet","ind","max_temp","avg_temp","min_sal","avg_sal"
"TempWarm-5psu","201","B3","VAT","gen-26","VAT_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","202","B3","BJO","gen-26","BJO_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","203","B3","KUR","gen-26","KUR_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","204","B3","HOG","gen-26","HOG_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","205","B3","HOR","gen-26","HOR_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","206","B3","KAL","gen-26","KAL_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","207","B3","VIK","gen-26","VIK_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","208","B3","BAR","gen-26","BAR_gen-26",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","209","B3","VIK","gen-27","VIK_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","210","B3","BAR","gen-27","BAR_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","211","B3","HOG","gen-27","HOG_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","212","B3","KUR","gen-27","KUR_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","213","B3","BJO","gen-27","BJO_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","214","B3","KAL","gen-27","KAL_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","215","B3","HOR","gen-27","HOR_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","216","B3","VAT","gen-27","VAT_gen-27",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","217","B3","KUR","gen-28","KUR_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","218","B3","VAT","gen-28","VAT_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","219","B3","BAR","gen-28","BAR_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","220","B3","HOG","gen-28","HOG_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","221","B3","KAL","gen-28","KAL_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","222","B3","VIK","gen-28","VIK_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","223","B3","HOR","gen-28","HOR_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","224","B3","BJO","gen-28","BJO_gen-28",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","225","B4","BJO","gen-29","BJO_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","226","B4","HOG","gen-29","HOG_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","227","B4","HOR","gen-29","HOR_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","228","B4","VAT","gen-29","VAT_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","229","B4","KUR","gen-29","KUR_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","230","B4","BAR","gen-29","BAR_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","231","B4","VIK","gen-29","VIK_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","232","B4","KAL","gen-29","KAL_gen-29",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","233","B4","BJO","gen-30","BJO_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","234","B4","HOR","gen-30","HOR_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","235","B4","BAR","gen-30","BAR_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","236","B4","VAT","gen-30","VAT_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","237","B4","VIK","gen-30","VIK_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","238","B4","KAL","gen-30","KAL_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","239","B4","KUR","gen-30","KUR_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","240","B4","HOG","gen-30","HOG_gen-30",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","241","B4","KAL","gen-31","KAL_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","242","B4","HOR","gen-31","HOR_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","243","B4","KUR","gen-31","KUR_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","244","B4","BAR","gen-31","BAR_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","245","B4","VIK","gen-31","VIK_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","246","B4","HOG","gen-31","HOG_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","247","B4","VAT","gen-31","VAT_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","248","B4","BJO","gen-31","BJO_gen-31",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","249","B4","BAR","gen-32","BAR_gen-32",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","250","B4","HOG","gen-32","HOG_gen-32",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","251","B4","VIK","gen-32","VIK_gen-32",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","252","B4","VAT","gen-32","VAT_gen-32",34.23173828125,25.8003762629227,5,5
