"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"138","BUR",507,"BUR-15","15","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"139","BUR",508,"BUR-16","16","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"140","BUR",509,"BUR-17","17","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"141","BUR",511,"BUR-18","18","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"142","BUR",511,"BUR-20","20","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"143","EKO",615,"EKO-01","01","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"144","EKO",615,"EKO-02","02","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"145","EKO",615,"EKO-03","03","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"146","EKO",615,"EKO-04","04","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"147","EKO",615,"EKO-05","05","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"148","EKO",615,"EKO-06","06","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"149","EKO",615,"EKO-07","07","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"150","EKO",615,"EKO-08","08","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"151","EKO",624,"EKO-09","09","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"152","EKO",615,"EKO-10","10","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"153","EKO",615,"EKO-11","11","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"154","EKO",615,"EKO-12","12","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"155","EKO",615,"EKO-13","13","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"156","EKO",615,"EKO-14","14","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"157","EKO",615,"EKO-15","15","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"158","EKO",615,"EKO-16","16","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"159","EKO",615,"EKO-17","17","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"160","EKO",615,"EKO-18","18","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"161","EKO",615,"EKO-19","19","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"162","EKO",615,"EKO-20","20","Valdemarsvik","Ekön",16854798,58175265,-1.85214110457801,-0.6868723956935
"163","FUR",383,"FUR-02","02","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"164","FUR",383,"FUR-07","07","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"165","FUR",383,"FUR-08","08","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"166","FUR",383,"FUR-09","09","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"167","FUR",383,"FUR-11","11","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
"168","FUR",383,"FUR-13","13","Pukaviksbukten","Furumon",1472029998,560954,-0.918356092780621,-0.522363384199117
