"bagnum_num","tank_ID","bagKey","trt","bagnum_text","pop","new_label","genetID","DNA_label","temp_full","sal_full","gen","genet","board","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position"
76,"A3","7A882DEA","TempWarm-5psu",76,"BAR","076_A3_BAR_gen-10_TempWarm-5psu",10,"BAR_gen-10","TempWarm","5psu","gen-10","BAR-10",10,5.15,5.15,5.1,5.2,0.0577350269189629,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,3,12,"3_12"
77,"A3","76B90E9F","TempWarm-5psu",77,"VIK","077_A3_VIK_gen-10_TempWarm-5psu",10,"VIK_gen-10","TempWarm","5psu","gen-10","VIK-10",10,5.34,5.3,5.3,5.4,0.0547722557505169,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,4,9,"4_9"
78,"A3","D0DC85DA","TempWarm-5psu",78,"KUR","078_A3_KUR_gen-10_TempWarm-5psu",10,"KUR_gen-10","TempWarm","5psu","gen-10","KUR-10",10,5.08,5.1,5,5.1,0.0447213595499956,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,4,10,"4_10"
79,"A3","2314F740","TempWarm-5psu",79,"BJO","079_A3_BJO_gen-10_TempWarm-5psu",10,"BJO_gen-10","TempWarm","5psu","gen-10","BJO-10",10,5.22,5.2,5.2,5.3,0.0447213595499956,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,4,11,"4_11"
80,"A3","9F841C1E","TempWarm-5psu",80,"HOG","080_A3_HOG_gen-10_TempWarm-5psu",10,"HOG_gen-10","TempWarm","5psu","gen-10","HOG-10",10,5.12,5.1,5.1,5.2,0.044721359549996,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,4,12,"4_12"
81,"A3","FC77CEBA","TempWarm-16psu",81,"KAL","081_A3_KAL_gen-11_TempWarm-16psu",11,"KAL_gen-11","TempWarm","16psu","gen-11","KAL-11",11,15.92,15.9,15.8,16,0.0836660026534073,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,5,9,"5_9"
82,"A3","A87C20E7","TempWarm-16psu",82,"BJO","082_A3_BJO_gen-11_TempWarm-16psu",11,"BJO_gen-11","TempWarm","16psu","gen-11","BJO-11",11,16.24,16.2,16.2,16.3,0.0547722557505174,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,5,10,"5_10"
83,"A3","B66B32E2","TempWarm-16psu",83,"BAR","083_A3_BAR_gen-11_TempWarm-16psu",11,"BAR_gen-11","TempWarm","16psu","gen-11","BAR-11",11,16.18,16.2,16.1,16.2,0.0447213595499948,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,5,11,"5_11"
84,"A3","911BC4B1","TempWarm-16psu",84,"HOR","084_A3_HOR_gen-11_TempWarm-16psu",11,"HOR_gen-11","TempWarm","16psu","gen-11","HOR-11",11,16.12,16.1,16.1,16.2,0.0447213595499948,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,5,12,"5_12"
85,"A3","BBD91F67","TempWarm-16psu",85,"HOG","085_A3_HOG_gen-11_TempWarm-16psu",11,"HOG_gen-11","TempWarm","16psu","gen-11","HOG-11",11,16.12,16.1,16,16.2,0.083666002653407,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,6,9,"6_9"
