"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"103","STE",121,"STE-07","07","seascape",103,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"104","STE",122,"STE-09","09","seascape",104,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"105","STE",123,"STE-11","11","seascape",105,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"106","STE",123,"STE-11","11","seascape",106,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"107","STE",124,"STE-12","12","seascape",107,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"108","STE",126,"STE-14","14","seascape",108,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"109","STE",127,"STE-17","17","seascape",109,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"110","STE",131,"STE-19","19","seascape",110,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"111","STE",132,"STE-20","20","seascape",111,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"112","STE",133,"STE-02","02","seascape",112,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"113","STE",135,"STE-06","06","seascape",113,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"114","STE",135,"STE-06","06","seascape",114,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"115","STE",136,"STE-08","08","seascape",115,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"116","STE",136,"STE-08","08","seascape",116,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"117","STE",137,"STE-18","18","seascape",118,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"118","STE",137,"STE-18","18","seascape",117,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"119","NOV",138,"NOV-01","01","seascape",119,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"120","NOV",138,"NOV-01","01","seascape",120,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"121","NOV",144,"NOV-04","04","seascape",121,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"122","NOV",144,"NOV-04","04","seascape",122,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"123","NOV",146,"NOV-08","08","seascape",123,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"124","NOV",147,"NOV-06","06","seascape",124,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"125","NOV",147,"NOV-06","06","seascape",125,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"126","NOV",148,"NOV-13","13","seascape",126,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"127","NOV",149,"NOV-14","14","seascape",127,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"128","NOV",150,"NOV-15","15","seascape",128,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"129","NOV",150,"NOV-15","15","seascape",129,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"130","NOV",152,"NOV-18","18","seascape",130,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"131","NOV",153,"NOV-20","20","seascape",131,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"132","SBR",154,"SBR-01","01","seascape",132,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"133","SBR",157,"SBR-02","02","seascape",133,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"134","SBR",159,"SBR-03","03","seascape",134,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"135","SBR",160,"SBR-04","04","seascape",135,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"136","SBR",161,"SBR-05","05","seascape",136,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"137","SBR",162,"SBR-07","07","seascape",137,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"138","SBR",163,"SBR-08","08","seascape",138,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"139","SBR",164,"SBR-09","09","seascape",139,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"140","SBR",165,"SBR-10","10","seascape",140,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"141","SBR",166,"SBR-11","11","seascape",141,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"142","SBR",167,"SBR-12","12","seascape",142,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"143","SBR",168,"SBR-13","13","seascape",143,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"144","SBR",169,"SBR-14","14","seascape",144,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"145","SBR",170,"SBR-15","15","seascape",145,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"146","SBR",171,"SBR-16","16","seascape",146,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
