"Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"KAV",85,"KAV-14","14","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",86,"KAV-15","15","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",87,"KAV-16","16","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",90,"KAV-17","17","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KIE",2,"KIE-01","01","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",4,"KIE-03","03","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",5,"KIE-04","04","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",7,"KIE-05","05","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",11,"KIE-09","09","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",12,"KIE-10","10","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",14,"KIE-11","11","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",15,"KIE-12","12","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",16,"KIE-13","13","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",20,"KIE-14","14","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KIE",21,"KIE-18","18","Germany","Kiel",10.154972,54.345615,19,12,22,10,25,10,0.70588022342345,0.28625165378761,0.0909679196060027,0.719637163377652
"KLI",563,"KLI-02","02","Gotland","Klintehamn",18.152719,57.401162,15,7,17,6,24,6,0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"KLI",561,"KLI-07","07","Gotland","Klintehamn",18.152719,57.401162,15,7,17,6,24,6,0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"KLI",575,"KLI-17","17","Gotland","Klintehamn",18.152719,57.401162,15,7,17,6,24,6,0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"KLI",569,"KLI-06","06","Gotland","Klintehamn",18.152719,57.401162,15,7,17,6,24,6,0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"KLI",573,"KLI-18","18","Gotland","Klintehamn",18.152719,57.401162,15,7,17,6,24,6,0.00632145196478833,0.693773789764357,-0.662732199384387,-0.396278094531094
"KOD",39,"KOD-04","04","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",25,"KOD-13","13","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",43,"KOD-15","15","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",28,"KOD-16","16","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",29,"KOD-18","18","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",30,"KOD-19","19","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",31,"KOD-20","20","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",33,"KOD-01","01","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",41,"KOD-10","10","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KOD",42,"KOD-11","11","Kosterhavet","Koster donor site",10.991989,58.882538,18,22,20,20,23,10,0.356100837694119,-0.528792618165885,1.59836815758678,0.719637163377652
"KRA",642,"KRA-04","04","Tystberga","Krampö",17.4658689,58.690647,16,7,19,5,25,6,-1.39279609095254,-0.121270482189138,-0.662732199384387,-0.67525690900828
"KUR",288,"KUR-01","01","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",291,"KUR-07","07","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",294,"KUR-09","09","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",296,"KUR-10","10","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",297,"KUR-11","11","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",299,"KUR-13","13","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",302,"KUR-14","14","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"KUR",306,"KUR-18","18","Trelleborg","Kurland",12.982861,55.395972,17,6,21,4,24,4,0.216888642173846,-0.454857876092876,-0.484738379283617,-0.149362623910626
"LJU",540,"LJU-01","01","Gotland","Ljugarn",18.695397,57.319176,16,7,19,5,25,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"LJU",546,"LJU-08","08","Gotland","Ljugarn",18.695397,57.319176,16,7,19,5,25,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"LJU",551,"LJU-17","17","Gotland","Ljugarn",18.695397,57.319176,16,7,19,5,25,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"LJU",555,"LJU-20","20","Gotland","Ljugarn",18.695397,57.319176,16,7,19,5,25,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"LOM",265,"LOM-01","01","Lomma","South Lomma Bay",13.05485,55.67242,17,16,20,15,23,7,0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
"LOM",267,"LOM-02","02","Lomma","South Lomma Bay",13.05485,55.67242,17,16,20,15,23,7,0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
"LOM",268,"LOM-04","04","Lomma","South Lomma Bay",13.05485,55.67242,17,16,20,15,23,7,0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
"LOM",270,"LOM-05","05","Lomma","South Lomma Bay",13.05485,55.67242,17,16,20,15,23,7,0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
"LOM",273,"LOM-07","07","Lomma","South Lomma Bay",13.05485,55.67242,17,16,20,15,23,7,0.356100837694119,-0.528792618165885,-0.361252151788231,-0.117299280053907
