"","Pop","MLL_no","Indv_no","Pop_no","coast","lat","long","temp_mean_adjust","temp_max","temp_mean_adjust.1","sal_min","sal_mean_adjust","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"63","HOR",587,"HOR-17","17","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"64","HOR",587,"HOR-18","18","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"65","HOR",587,"HOR-19","19","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"66","HOR",587,"HOR-09","09","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"67","HOR",587,"HOR-20","20","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"68","HOR",587,"HOR-05","05","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"69","HOR",587,"HOR-08","08","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"70","HOR",587,"HOR-15","15","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"71","HOR",587,"HOR-16","16","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"72","HOR",587,"HOR-13","13","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"73","HOR",587,"HOR-14","14","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"74","KAL",441,"KAL-18","18","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"75","KAL",426,"KAL-07","07","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"76","KAL",448,"KAL-20","20","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"77","KAL",426,"KAL-09","09","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"78","KAL",427,"KAL-19","19","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"79","KAL",441,"KAL-11","11","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"80","KAL",436,"KAL-12","12","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"81","KAL",441,"KAL-13","13","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
"82","KAL",441,"KAL-10","10","East",56.654431,16.351908,19.0051,24.1787846883138,19.0051,5.90900532404582,6.9842,1.53529891811698,1.39806812066835,-0.490247673279062,-0.19924554458929
