"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"190","KAL",427,"KAL-02","02","seascape",374,0.183483882618695,0.0432025998331731,-0.743423992570277,-0.507667850146463
"191","KAL",436,"KAL-06","06","seascape",379,0.183483882618695,0.0432025998331731,-0.743423992570277,-0.507667850146463
"192","KAL",441,"KAL-04","04","seascape",387,0.183483882618695,0.0432025998331731,-0.743423992570277,-0.507667850146463
"193","KAL",448,"KAL-20","20","seascape",389,0.183483882618695,0.0432025998331731,-0.743423992570277,-0.507667850146463
"194","KAR",451,"KAR-02","02","seascape",390,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"195","KAR",460,"KAR-03","03","seascape",404,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"196","OSK",471,"OSK-01","01","seascape",405,-0.919321172728561,-0.275737328502471,-0.743423992570277,-0.507667850146463
"197","OSK",474,"OSK-06","06","seascape",410,-0.919321172728561,-0.275737328502471,-0.743423992570277,-0.507667850146463
"198","BUR",489,"BUR-01","01","seascape",425,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"199","BUR",491,"BUR-03","03","seascape",427,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"200","BUR",493,"BUR-05","05","seascape",429,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"201","BUR",494,"BUR-06","06","seascape",430,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"202","BUR",496,"BUR-07","07","seascape",432,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"203","BUR",498,"BUR-09","09","seascape",434,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"204","BUR",499,"BUR-10","10","seascape",435,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"205","BUR",501,"BUR-11","11","seascape",436,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"206","BUR",504,"BUR-13","13","seascape",437,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"207","BUR",507,"BUR-14","14","seascape",438,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"208","BUR",508,"BUR-16","16","seascape",440,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"209","BUR",509,"BUR-17","17","seascape",441,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"210","BUR",511,"BUR-18","18","seascape",442,-0.0922173812181188,0.362142528168817,-0.743423992570277,-0.507667850146463
"211","BAD",519,"BAD-03","03","seascape",444,-0.367918645054933,-0.275737328502471,-0.743423992570277,-0.507667850146463
"212","BAD",520,"BAD-06","06","seascape",450,-0.367918645054933,-0.275737328502471,-0.743423992570277,-0.507667850146463
"213","BAD",526,"BAD-16","16","seascape",452,-0.367918645054933,-0.275737328502471,-0.743423992570277,-0.507667850146463
"214","BAD",533,"BAD-17","17","seascape",455,-0.367918645054933,-0.275737328502471,-0.743423992570277,-0.507667850146463
"215","LJU",540,"LJU-01","01","seascape",463,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"216","LJU",546,"LJU-08","08","seascape",469,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"217","LJU",551,"LJU-17","17","seascape",478,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"218","LJU",555,"LJU-20","20","seascape",479,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"219","KLI",561,"KLI-07","07","seascape",481,-0.367918645054933,0.362142528168817,-0.743423992570277,-0.507667850146463
"220","KLI",563,"KLI-02","02","seascape",493,-0.367918645054933,0.362142528168817,-0.743423992570277,-0.507667850146463
"221","KLI",569,"KLI-06","06","seascape",494,-0.367918645054933,0.362142528168817,-0.743423992570277,-0.507667850146463
"222","KLI",573,"KLI-18","18","seascape",495,-0.367918645054933,0.362142528168817,-0.743423992570277,-0.507667850146463
"223","KLI",575,"KLI-17","17","seascape",498,-0.367918645054933,0.362142528168817,-0.743423992570277,-0.507667850146463
"224","HOR",587,"HOR-10","10","seascape",499,-0.919321172728561,-0.275737328502471,-0.743423992570277,-0.507667850146463
"225","SLI",594,"SLI-04","04","seascape",515,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"226","SLI",597,"SLI-02","02","seascape",528,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"227","SLI",606,"SLI-05","05","seascape",533,-0.643619908891747,0.0432025998331731,-0.743423992570277,-0.507667850146463
"228","EKO",615,"EKO-01","01","seascape",534,-1.746424964239,-0.275737328502471,-0.743423992570277,-0.507667850146463
"229","EKO",624,"EKO-09","09","seascape",553,-1.746424964239,-0.275737328502471,-0.743423992570277,-0.507667850146463
"230","KRA",642,"KRA-04","04","seascape",554,-1.47072370040219,-0.275737328502471,-0.743423992570277,-0.723383693744745
"231","NYN",649,"NYN-03","03","seascape",563,-2.02212622807582,-0.275737328502471,-0.743423992570277,-0.723383693744745
"232","NYN",659,"NYN-02","02","seascape",576,-2.02212622807582,-0.275737328502471,-0.743423992570277,-0.723383693744745
