"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"86","east","FUR",383,"FUR-17","17","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"87","east","FUR",383,"FUR-20","20","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"88","east","FUR",383,"FUR-03","03","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"89","east","FUR",383,"FUR-04","04","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"90","east","FUR",383,"FUR-06","06","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"91","east","FUR",383,"FUR-10","10","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"92","east","FUR",383,"FUR-12","12","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"93","east","FUR",383,"FUR-15","15","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"94","east","BJN",394,"BJN-02","02","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"95","east","BJN",394,"BJN-08","08","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"96","east","BJN",394,"BJN-10","10","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"97","east","BJN",394,"BJN-14","14","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"98","east","BJN",394,"BJN-15","15","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"99","east","BJN",394,"BJN-16","16","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"100","east","BJN",394,"BJN-21","21","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"101","east","BJN",394,"BJN-22","22","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"102","east","BJN",394,"BJN-27","27","Björkenäs","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"103","east","BLA",404,"BLA-01","01","Bläsinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"104","east","BLA",404,"BLA-02","02","Bläsinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
