"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"100","BAR","TempWarm-16psu","A4",100,26.16646484375,34.23173828125,16.1,16.1,"treatment",4.73657951953123,10.8313672055959,0.908742015413047,3.51264702108844
"101","VIK","TempWarm-16psu","A4",101,26.16646484375,34.23173828125,16.2,16.1,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.51264702108844
"102","HOR","TempWarm-16psu","A4",102,26.16646484375,34.23173828125,16,15.9,"treatment",4.73657951953123,10.8313672055959,0.891932244437458,3.43730178173077
"103","KAL","TempWarm-16psu","A4",103,26.16646484375,34.23173828125,16.1,16.1,"treatment",4.73657951953123,10.8313672055959,0.908742015413047,3.51264702108844
"104","KUR","TempWarm-16psu","A4",104,26.16646484375,34.23173828125,16,15.9,"treatment",4.73657951953123,10.8313672055959,0.891932244437458,3.43730178173077
"105","KAL","TempWarm-5psu","A4",105,26.16646484375,34.23173828125,5.3,5.3,"treatment",4.73657951953123,10.8313672055959,-0.906713249950475,-0.555995904225537
"106","VIK","TempWarm-5psu","A4",106,26.16646484375,34.23173828125,5.4,5.4,"treatment",4.73657951953123,10.8313672055959,-0.889903478974887,-0.518323284546704
"107","BJO","TempWarm-5psu","A4",107,26.16646484375,34.23173828125,5.2,5.2,"treatment",4.73657951953123,10.8313672055959,-0.923523020926063,-0.59366852390437
"108","KUR","TempWarm-5psu","A4",108,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"109","VAT","TempWarm-5psu","A4",109,26.16646484375,34.23173828125,5.2,5.2,"treatment",4.73657951953123,10.8313672055959,-0.923523020926063,-0.59366852390437
"110","BAR","TempWarm-5psu","A4",110,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"111","HOR","TempWarm-5psu","A4",111,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"112","HOG","TempWarm-5psu","A4",112,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"113","KAL","TempWarm-16psu","A4",113,26.16646484375,34.23173828125,16.2,16.1,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.51264702108844
"114","BAR","TempWarm-16psu","A4",114,26.16646484375,34.23173828125,16,16,"treatment",4.73657951953123,10.8313672055959,0.891932244437458,3.47497440140961
"115","KUR","TempWarm-16psu","A4",115,26.16646484375,34.23173828125,16.15,16.1,"treatment",4.73657951953123,10.8313672055959,0.91714690090084,3.51264702108844
"116","HOR","TempWarm-16psu","A4",116,26.16646484375,34.23173828125,16.1,16.1,"treatment",4.73657951953123,10.8313672055959,0.908742015413047,3.51264702108844
"117","HOG","TempWarm-16psu","A4",117,26.16646484375,34.23173828125,16,16,"treatment",4.73657951953123,10.8313672055959,0.891932244437458,3.47497440140961
"118","BJO","TempWarm-16psu","A4",118,26.16646484375,34.23173828125,16.1,16.1,"treatment",4.73657951953123,10.8313672055959,0.908742015413047,3.51264702108844
"119","VAT","TempWarm-16psu","A4",119,26.16646484375,34.23173828125,16.2,16.2,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.55031964076727
"120","VIK","TempWarm-16psu","A4",120,26.16646484375,34.23173828125,16.2,16.1,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.51264702108844
"121","HOR","TempWarm-5psu","A4",121,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"122","BJO","TempWarm-5psu","A4",122,26.16646484375,34.23173828125,5.2,5.2,"treatment",4.73657951953123,10.8313672055959,-0.923523020926063,-0.59366852390437
"123","KUR","TempWarm-5psu","A4",123,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"124","HOG","TempWarm-5psu","A4",124,26.16646484375,34.23173828125,4.9,4.9,"treatment",4.73657951953123,10.8313672055959,-0.973952333852828,-0.706686382940869
"125","VAT","TempWarm-5psu","A4",125,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"126","KAL","TempWarm-5psu","A4",126,26.16646484375,34.23173828125,5.2,5.1,"treatment",4.73657951953123,10.8313672055959,-0.923523020926063,-0.631341143583203
"127","BAR","TempWarm-5psu","A4",127,26.16646484375,34.23173828125,5.1,5.1,"treatment",4.73657951953123,10.8313672055959,-0.940332791901652,-0.631341143583203
"128","VIK","TempWarm-5psu","A4",128,26.16646484375,34.23173828125,5.4,5.3,"treatment",4.73657951953123,10.8313672055959,-0.889903478974887,-0.555995904225537
"129","BAR","TempWarm-16psu","B1",129,26.252265625,32.08671875,16.2,16.2,"treatment",4.77846015771423,8.61327817017311,0.925551786388634,3.55031964076727
"130","HOG","TempWarm-16psu","B1",130,26.252265625,32.08671875,16.15,16.1,"treatment",4.77846015771423,8.61327817017311,0.91714690090084,3.51264702108844
"131","HOR","TempWarm-16psu","B1",131,26.252265625,32.08671875,16.25,16.2,"treatment",4.77846015771423,8.61327817017311,0.933956671876429,3.55031964076727
"132","VAT","TempWarm-16psu","B1",132,26.252265625,32.08671875,16.25,16.1,"treatment",4.77846015771423,8.61327817017311,0.933956671876429,3.51264702108844
"133","BJO","TempWarm-16psu","B1",133,26.252265625,32.08671875,16.25,16.2,"treatment",4.77846015771423,8.61327817017311,0.933956671876429,3.55031964076727
"134","KAL","TempWarm-16psu","B1",134,26.252265625,32.08671875,16.2,16.1,"treatment",4.77846015771423,8.61327817017311,0.925551786388634,3.51264702108844
"135","VIK","TempWarm-16psu","B1",135,26.252265625,32.08671875,16.15,16.1,"treatment",4.77846015771423,8.61327817017311,0.91714690090084,3.51264702108844
"136","KUR","TempWarm-16psu","B1",136,26.252265625,32.08671875,15.9,15.8,"treatment",4.77846015771423,8.61327817017311,0.87512247346187,3.39962916205194
"137","KAL","TempWarm-5psu","B1",137,26.252265625,32.08671875,5,4.9,"treatment",4.77846015771423,8.61327817017311,-0.95714256287724,-0.706686382940869
"138","BAR","TempWarm-5psu","B1",138,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"139","KUR","TempWarm-5psu","B1",139,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"140","HOR","TempWarm-5psu","B1",140,26.252265625,32.08671875,5,5,"treatment",4.77846015771423,8.61327817017311,-0.95714256287724,-0.669013763262036
"141","BJO","TempWarm-5psu","B1",141,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"142","VAT","TempWarm-5psu","B1",142,26.252265625,32.08671875,5.2,5.2,"treatment",4.77846015771423,8.61327817017311,-0.923523020926063,-0.59366852390437
"143","VIK","TempWarm-5psu","B1",143,26.252265625,32.08671875,5.35,5.3,"treatment",4.77846015771423,8.61327817017311,-0.898308364462681,-0.555995904225537
"144","HOG","TempWarm-5psu","B1",144,26.252265625,32.08671875,5.1,5.1,"treatment",4.77846015771423,8.61327817017311,-0.940332791901652,-0.631341143583203
"145","BJO","TempWarm-16psu","B1",145,26.252265625,32.08671875,16.3,16.2,"treatment",4.77846015771423,8.61327817017311,0.942361557364223,3.55031964076727
"146","VIK","TempWarm-16psu","B1",146,26.252265625,32.08671875,16.15,16,"treatment",4.77846015771423,8.61327817017311,0.91714690090084,3.47497440140961
"147","KUR","TempWarm-16psu","B1",147,26.252265625,32.08671875,15.85,15.8,"treatment",4.77846015771423,8.61327817017311,0.866717587974076,3.39962916205194
"148","KAL","TempWarm-16psu","B1",148,26.252265625,32.08671875,15.8,15.8,"treatment",4.77846015771423,8.61327817017311,0.858312702486282,3.39962916205194
"149","BAR","TempWarm-16psu","B1",149,26.252265625,32.08671875,16.05,16,"treatment",4.77846015771423,8.61327817017311,0.900337129925252,3.47497440140961
"150","HOR","TempWarm-16psu","B1",150,26.252265625,32.08671875,16.1,16,"treatment",4.77846015771423,8.61327817017311,0.908742015413047,3.47497440140961
