"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"85","west","KIE",14,"KIE-11","11","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"86","west","KIE",15,"KIE-12","12","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"87","west","KIE",16,"KIE-13","13","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"88","west","KIE",20,"KIE-14","14","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"89","west","KIE",21,"KIE-18","18","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"90","west","KOD",25,"KOD-13","13","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"91","west","KOD",28,"KOD-16","16","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"92","west","KOD",29,"KOD-18","18","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"93","west","KOD",30,"KOD-19","19","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"94","west","KOD",31,"KOD-20","20","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"95","west","KOD",33,"KOD-01","01","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"96","west","KOD",39,"KOD-04","04","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"97","west","KOD",41,"KOD-10","10","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"98","west","KOD",42,"KOD-11","11","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"99","west","KOD",43,"KOD-15","15","Koster donor site","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"100","west","GAS",44,"GAS-01","01","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"101","west","GAS",46,"GAS-02","02","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"102","west","GAS",47,"GAS-04","04","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"103","west","GAS",48,"GAS-05","05","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"104","west","GAS",49,"GAS-06","06","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"105","west","GAS",50,"GAS-07","07","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"106","west","GAS",51,"GAS-08","08","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"107","west","GAS",52,"GAS-09","09","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"108","west","GAS",53,"GAS-10","10","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"109","west","GAS",56,"GAS-11","11","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"110","west","GAS",66,"GAS-20","20","Gåsholmen ","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"111","west","KAV",69,"KAV-01","01","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"112","west","KAV",71,"KAV-02","02","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"113","west","KAV",72,"KAV-03","03","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"114","west","KAV",75,"KAV-04","04","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"115","west","KAV",76,"KAV-05","05","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"116","west","KAV",77,"KAV-06","06","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"117","west","KAV",78,"KAV-07","07","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"118","west","KAV",79,"KAV-08","08","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"119","west","KAV",84,"KAV-11","11","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"120","west","KAV",85,"KAV-14","14","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"121","west","KAV",86,"KAV-15","15","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"122","west","KAV",87,"KAV-16","16","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"123","west","KAV",90,"KAV-17","17","Kämpersvik","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"124","west","VHA",92,"VHA-01","01","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"125","west","VHA",93,"VHA-02","02","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"126","west","VHA",94,"VHA-03","03","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"127","west","VHA",96,"VHA-04","04","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"128","west","VHA",97,"VHA-06","06","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"129","west","VHA",98,"VHA-07","07","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"130","west","VHA",99,"VHA-08","08","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"131","west","VHA",100,"VHA-09","09","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"132","west","VHA",101,"VHA-10","10","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"133","west","VHA",102,"VHA-11","11","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"134","west","VHA",104,"VHA-13","13","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"135","west","VHA",106,"VHA-15","15","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"136","west","VHA",107,"VHA-16","16","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"137","west","VHA",108,"VHA-17","17","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"138","west","VHA",110,"VHA-18","18","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"139","west","VHA",112,"VHA-19","19","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"140","west","VHA",115,"VHA-20","20","Väst Hjältön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"141","west","STE",116,"STE-01","01","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"142","west","STE",117,"STE-03","03","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"143","west","STE",118,"STE-04","04","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"144","west","STE",119,"STE-05","05","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"145","west","STE",121,"STE-07","07","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"146","west","STE",122,"STE-09","09","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"147","west","STE",123,"STE-11","11","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"148","west","STE",124,"STE-12","12","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"149","west","STE",126,"STE-14","14","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"150","west","STE",127,"STE-17","17","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"151","west","STE",131,"STE-19","19","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"152","west","STE",132,"STE-20","20","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"153","west","STE",133,"STE-02","02","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"154","west","STE",135,"STE-06","06","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"155","west","STE",136,"STE-08","08","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"156","west","STE",137,"STE-18","18","Stenungsund","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"157","west","NOV",138,"NOV-01","01","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"158","west","NOV",144,"NOV-04","04","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"159","west","NOV",146,"NOV-08","08","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"160","west","NOV",147,"NOV-06","06","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"161","west","NOV",148,"NOV-13","13","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"162","west","NOV",149,"NOV-14","14","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"163","west","NOV",150,"NOV-15","15","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"164","west","NOV",152,"NOV-18","18","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"165","west","NOV",153,"NOV-20","20","N. Överön","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"166","west","SBR",154,"SBR-01","01","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"167","west","SBR",157,"SBR-02","02","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"168","west","SBR",159,"SBR-03","03","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"169","west","SBR",160,"SBR-04","04","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"170","west","SBR",161,"SBR-05","05","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"171","west","SBR",162,"SBR-07","07","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"172","west","SBR",163,"SBR-08","08","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"173","west","SBR",164,"SBR-09","09","S. Brännö","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
