"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"247","TempWarm-16psu","184","B2","VAT","gen-23","VAT_gen-23",34.23173828125,26.0806640625,16,16
"329","TempWarm-5psu","185","B2","BJO","gen-24","BJO_gen-24",34.23173828125,26.0806640625,5,5
"318","TempWarm-5psu","186","B2","KUR","gen-24","KUR_gen-24",34.23173828125,26.0806640625,5,5
"362","TempWarm-5psu","187","B2","KAL","gen-24","KAL_gen-24",34.23173828125,26.0806640625,5,5
"337","TempWarm-5psu","188","B2","HOR","gen-24","HOR_gen-24",34.23173828125,26.0806640625,5,5
"369","TempWarm-5psu","189","B2","VAT","gen-24","VAT_gen-24",34.23173828125,26.0806640625,5,5
"353","TempWarm-5psu","190","B2","VIK","gen-24","VIK_gen-24",34.23173828125,26.0806640625,5,5
"314","TempWarm-5psu","191","B2","HOG","gen-24","HOG_gen-24",34.23173828125,26.0806640625,5,5
"306","TempWarm-5psu","192","B2","BAR","gen-24","BAR_gen-24",34.23173828125,26.0806640625,5,5
"224","TempWarm-16psu","193","B3","HOR","gen-25","HOR_gen-25",34.23173828125,26.0806640625,16,16
"288","TempWarm-16psu","194","B3","KUR","gen-25","KUR_gen-25",34.23173828125,26.0806640625,16,16
"233","TempWarm-16psu","195","B3","BJO","gen-25","BJO_gen-25",34.23173828125,26.0806640625,16,16
"264","TempWarm-16psu","196","B3","KAL","gen-25","KAL_gen-25",34.23173828125,26.0806640625,16,16
"257","TempWarm-16psu","197","B3","BAR","gen-25","BAR_gen-25",34.23173828125,26.0806640625,16,16
"281","TempWarm-16psu","198","B3","VIK","gen-25","VIK_gen-25",34.23173828125,26.0806640625,16,16
"262","TempWarm-16psu","199","B3","HOG","gen-25","HOG_gen-25",34.23173828125,26.0806640625,16,16
"260","TempWarm-16psu","200","B3","VAT","gen-25","VAT_gen-25",34.23173828125,26.0806640625,16,16
"354","TempWarm-5psu","201","B3","VAT","gen-26","VAT_gen-26",34.23173828125,26.0806640625,5,5
"291","TempWarm-5psu","202","B3","BJO","gen-26","BJO_gen-26",34.23173828125,26.0806640625,5,5
"338","TempWarm-5psu","203","B3","KUR","gen-26","KUR_gen-26",34.23173828125,26.0806640625,5,5
"290","TempWarm-5psu","204","B3","HOG","gen-26","HOG_gen-26",34.23173828125,26.0806640625,5,5
"346","TempWarm-5psu","205","B3","HOR","gen-26","HOR_gen-26",34.23173828125,26.0806640625,5,5
"322","TempWarm-5psu","206","B3","KAL","gen-26","KAL_gen-26",34.23173828125,26.0806640625,5,5
"370","TempWarm-5psu","207","B3","VIK","gen-26","VIK_gen-26",34.23173828125,26.0806640625,5,5
"379","TempWarm-5psu","208","B3","BAR","gen-26","BAR_gen-26",34.23173828125,26.0806640625,5,5
"279","TempWarm-16psu","209","B3","VIK","gen-27","VIK_gen-27",34.23173828125,26.0806640625,16,16
"259","TempWarm-16psu","210","B3","BAR","gen-27","BAR_gen-27",34.23173828125,26.0806640625,16,16
"251","TempWarm-16psu","211","B3","HOG","gen-27","HOG_gen-27",34.23173828125,26.0806640625,16,16
"286","TempWarm-16psu","212","B3","KUR","gen-27","KUR_gen-27",34.23173828125,26.0806640625,16,16
"199","TempWarm-16psu","213","B3","BJO","gen-27","BJO_gen-27",34.23173828125,26.0806640625,16,16
"283","TempWarm-16psu","214","B3","KAL","gen-27","KAL_gen-27",34.23173828125,26.0806640625,16,16
"266","TempWarm-16psu","215","B3","HOR","gen-27","HOR_gen-27",34.23173828125,26.0806640625,16,16
"248","TempWarm-16psu","216","B3","VAT","gen-27","VAT_gen-27",34.23173828125,26.0806640625,16,16
"340","TempWarm-5psu","217","B3","KUR","gen-28","KUR_gen-28",34.23173828125,26.0806640625,5,5
"356","TempWarm-5psu","218","B3","VAT","gen-28","VAT_gen-28",34.23173828125,26.0806640625,5,5
"381","TempWarm-5psu","219","B3","BAR","gen-28","BAR_gen-28",34.23173828125,26.0806640625,5,5
"305","TempWarm-5psu","220","B3","HOG","gen-28","HOG_gen-28",34.23173828125,26.0806640625,5,5
"364","TempWarm-5psu","221","B3","KAL","gen-28","KAL_gen-28",34.23173828125,26.0806640625,5,5
"372","TempWarm-5psu","222","B3","VIK","gen-28","VIK_gen-28",34.23173828125,26.0806640625,5,5
"321","TempWarm-5psu","223","B3","HOR","gen-28","HOR_gen-28",34.23173828125,26.0806640625,5,5
"316","TempWarm-5psu","224","B3","BJO","gen-28","BJO_gen-28",34.23173828125,26.0806640625,5,5
"236","TempWarm-16psu","225","B4","BJO","gen-29","BJO_gen-29",34.23173828125,26.0806640625,16,16
"253","TempWarm-16psu","226","B4","HOG","gen-29","HOG_gen-29",34.23173828125,26.0806640625,16,16
"269","TempWarm-16psu","227","B4","HOR","gen-29","HOR_gen-29",34.23173828125,26.0806640625,16,16
"237","TempWarm-16psu","228","B4","VAT","gen-29","VAT_gen-29",34.23173828125,26.0806640625,16,16
"275","TempWarm-16psu","229","B4","KUR","gen-29","KUR_gen-29",34.23173828125,26.0806640625,16,16
"261","TempWarm-16psu","230","B4","BAR","gen-29","BAR_gen-29",34.23173828125,26.0806640625,16,16
"252","TempWarm-16psu","231","B4","VIK","gen-29","VIK_gen-29",34.23173828125,26.0806640625,16,16
"277","TempWarm-16psu","232","B4","KAL","gen-29","KAL_gen-29",34.23173828125,26.0806640625,16,16
"331","TempWarm-5psu","233","B4","BJO","gen-30","BJO_gen-30",34.23173828125,26.0806640625,5,5
"310","TempWarm-5psu","234","B4","HOR","gen-30","HOR_gen-30",34.23173828125,26.0806640625,5,5
"383","TempWarm-5psu","235","B4","BAR","gen-30","BAR_gen-30",34.23173828125,26.0806640625,5,5
"358","TempWarm-5psu","236","B4","VAT","gen-30","VAT_gen-30",34.23173828125,26.0806640625,5,5
"374","TempWarm-5psu","237","B4","VIK","gen-30","VIK_gen-30",34.23173828125,26.0806640625,5,5
"366","TempWarm-5psu","238","B4","KAL","gen-30","KAL_gen-30",34.23173828125,26.0806640625,5,5
"342","TempWarm-5psu","239","B4","KUR","gen-30","KUR_gen-30",34.23173828125,26.0806640625,5,5
"294","TempWarm-5psu","240","B4","HOG","gen-30","HOG_gen-30",34.23173828125,26.0806640625,5,5
"274","TempWarm-16psu","241","B4","KAL","gen-31","KAL_gen-31",34.23173828125,26.0806640625,16,16
"270","TempWarm-16psu","242","B4","HOR","gen-31","HOR_gen-31",34.23173828125,26.0806640625,16,16
"263","TempWarm-16psu","243","B4","KUR","gen-31","KUR_gen-31",34.23173828125,26.0806640625,16,16
"223","TempWarm-16psu","244","B4","BAR","gen-31","BAR_gen-31",34.23173828125,26.0806640625,16,16
"254","TempWarm-16psu","245","B4","VIK","gen-31","VIK_gen-31",34.23173828125,26.0806640625,16,16
