bagKey,tank_ID,trt,bagnum_text,PopID,new_label,bagnum_num,genetID,DNA_label,temp_full,sal_full,gen,genet,board
0ED71178,A4,TempWarm-16psu,101,VIK,101_A4_VIK_gen-13_TempWarm-16psu,101,13,VIK_gen-13,TempWarm,16psu,gen-13,VIK-13,13
55B33E6B,A4,TempWarm-16psu,102,HOR,102_A4_HOR_gen-13_TempWarm-16psu,102,13,HOR_gen-13,TempWarm,16psu,gen-13,HOR-13,13
0D822C5B,A4,TempWarm-16psu,103,KAL,103_A4_KAL_gen-13_TempWarm-16psu,103,13,KAL_gen-13,TempWarm,16psu,gen-13,KAL-13,13
C62E3D4F,A4,TempWarm-16psu,104,KUR,104_A4_KUR_gen-13_TempWarm-16psu,104,13,KUR_gen-13,TempWarm,16psu,gen-13,KUR-13,13
16A0D2ED,A4,TempWarm-5psu,105,KAL,105_A4_KAL_gen-14_TempWarm-5psu,105,14,KAL_gen-14,TempWarm,5psu,gen-14,KAL-14,14
FB547F69,A4,TempWarm-5psu,106,VIK,106_A4_VIK_gen-14_TempWarm-5psu,106,14,VIK_gen-14,TempWarm,5psu,gen-14,VIK-14,14
EFD2763B,A4,TempWarm-5psu,107,BJO,107_A4_BJO_gen-14_TempWarm-5psu,107,14,BJO_gen-14,TempWarm,5psu,gen-14,BJO-14,14
C443225D,A4,TempWarm-5psu,108,KUR,108_A4_KUR_gen-14_TempWarm-5psu,108,14,KUR_gen-14,TempWarm,5psu,gen-14,KUR-14,14
9A1D9CE9,A4,TempWarm-5psu,109,VAT,109_A4_VAT_gen-14_TempWarm-5psu,109,14,VAT_gen-14,TempWarm,5psu,gen-14,VAT-14,14
907867F8,A4,TempWarm-5psu,110,BAR,110_A4_BAR_gen-14_TempWarm-5psu,110,14,BAR_gen-14,TempWarm,5psu,gen-14,BAR-14,14
0A4E419E,A4,TempWarm-5psu,111,HOR,111_A4_HOR_gen-14_TempWarm-5psu,111,14,HOR_gen-14,TempWarm,5psu,gen-14,HOR-14,14
80CA0C0B,A4,TempWarm-5psu,112,HOG,112_A4_HOG_gen-14_TempWarm-5psu,112,14,HOG_gen-14,TempWarm,5psu,gen-14,HOG-14,14
5A359A5A,A4,TempWarm-16psu,113,KAL,113_A4_KAL_gen-15_TempWarm-16psu,113,15,KAL_gen-15,TempWarm,16psu,gen-15,KAL-15,15
165AB158,A4,TempWarm-16psu,114,BAR,114_A4_BAR_gen-15_TempWarm-16psu,114,15,BAR_gen-15,TempWarm,16psu,gen-15,BAR-15,15
95F8100F,A4,TempWarm-16psu,115,KUR,115_A4_KUR_gen-15_TempWarm-16psu,115,15,KUR_gen-15,TempWarm,16psu,gen-15,KUR-15,15
7851A560,A4,TempWarm-16psu,116,HOR,116_A4_HOR_gen-15_TempWarm-16psu,116,15,HOR_gen-15,TempWarm,16psu,gen-15,HOR-15,15
E2F8E7D9,A4,TempWarm-16psu,117,HOG,117_A4_HOG_gen-15_TempWarm-16psu,117,15,HOG_gen-15,TempWarm,16psu,gen-15,HOG-15,15
133C5B79,A4,TempWarm-16psu,118,BJO,118_A4_BJO_gen-15_TempWarm-16psu,118,15,BJO_gen-15,TempWarm,16psu,gen-15,BJO-15,15
4E4FAD40,A4,TempWarm-16psu,119,VAT,119_A4_VAT_gen-15_TempWarm-16psu,119,15,VAT_gen-15,TempWarm,16psu,gen-15,VAT-15,15
A3954816,A4,TempWarm-16psu,120,VIK,120_A4_VIK_gen-15_TempWarm-16psu,120,15,VIK_gen-15,TempWarm,16psu,gen-15,VIK-15,15
67F0FFEA,A4,TempWarm-5psu,121,HOR,121_A4_HOR_gen-16_TempWarm-5psu,121,16,HOR_gen-16,TempWarm,5psu,gen-16,HOR-16,16
26D4DE97,A4,TempWarm-5psu,122,BJO,122_A4_BJO_gen-16_TempWarm-5psu,122,16,BJO_gen-16,TempWarm,5psu,gen-16,BJO-16,16
A10A3239,A4,TempWarm-5psu,123,KUR,123_A4_KUR_gen-16_TempWarm-5psu,123,16,KUR_gen-16,TempWarm,5psu,gen-16,KUR-16,16
BF77D16E,A4,TempWarm-5psu,124,HOG,124_A4_HOG_gen-16_TempWarm-5psu,124,16,HOG_gen-16,TempWarm,5psu,gen-16,HOG-16,16
37A4B78A,A4,TempWarm-5psu,125,VAT,125_A4_VAT_gen-16_TempWarm-5psu,125,16,VAT_gen-16,TempWarm,5psu,gen-16,VAT-16,16
1AA555FA,A4,TempWarm-5psu,126,KAL,126_A4_KAL_gen-16_TempWarm-5psu,126,16,KAL_gen-16,TempWarm,5psu,gen-16,KAL-16,16
80D13F8D,A4,TempWarm-5psu,127,BAR,127_A4_BAR_gen-16_TempWarm-5psu,127,16,BAR_gen-16,TempWarm,5psu,gen-16,BAR-16,16
DADBBD1F,A4,TempWarm-5psu,128,VIK,128_A4_VIK_gen-16_TempWarm-5psu,128,16,VIK_gen-16,TempWarm,5psu,gen-16,VIK-16,16
E21EC2FC,B1,TempWarm-16psu,129,BAR,129_B1_BAR_gen-17_TempWarm-16psu,129,17,BAR_gen-17,TempWarm,16psu,gen-17,BAR-17,17
66568068,B1,TempWarm-16psu,130,HOG,130_B1_HOG_gen-17_TempWarm-16psu,130,17,HOG_gen-17,TempWarm,16psu,gen-17,HOG-17,17
F34218FA,B1,TempWarm-16psu,131,HOR,131_B1_HOR_gen-17_TempWarm-16psu,131,17,HOR_gen-17,TempWarm,16psu,gen-17,HOR-17,17
2B0A27C0,B1,TempWarm-16psu,132,VAT,132_B1_VAT_gen-17_TempWarm-16psu,132,17,VAT_gen-17,TempWarm,16psu,gen-17,VAT-17,17
E44B9AA1,B1,TempWarm-16psu,133,BJO,133_B1_BJO_gen-17_TempWarm-16psu,133,17,BJO_gen-17,TempWarm,16psu,gen-17,BJO-17,17
0F8B8D1F,B1,TempWarm-16psu,134,KAL,134_B1_KAL_gen-17_TempWarm-16psu,134,17,KAL_gen-17,TempWarm,16psu,gen-17,KAL-17,17
9B2772BF,B1,TempWarm-16psu,135,VIK,135_B1_VIK_gen-17_TempWarm-16psu,135,17,VIK_gen-17,TempWarm,16psu,gen-17,VIK-17,17
64039CDF,B1,TempWarm-16psu,136,KUR,136_B1_KUR_gen-17_TempWarm-16psu,136,17,KUR_gen-17,TempWarm,16psu,gen-17,KUR-17,17
