"","pop","mll_no","median_temp","max_temp","median_sal","min_sal","median_temp_std","max_temp_std","median_sal_std","min_sal_std","df"
"210","BAR","244",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"211","BAR","247",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"214","BAR","250",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"215","BAR","251",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"220","BAR","255",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"222","BAR","258",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"223","BAR","259",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"224","BAR","260",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"225","BAR","261",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"226","BAR","262",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"227","BAR","263",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"228","BAR","264",17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437458,0.0844386303146261,"seascape"
"229","LOM","265",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"230","LOM","267",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"232","LOM","268",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"233","LOM","270",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"235","LOM","273",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"238","LOM","274",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"239","LOM","275",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
