gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5069735312	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/13459271/original.jpg	https://www.inaturalist.org/photos/13459271					2012-04-03T15:53:35Z	Lena Struwe		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Lena Struwe
5063663038	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/467363822/original.jpg	https://www.inaturalist.org/photos/467363822					2025-02-01T12:08:39Z	Morten Christensen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Morten Christensen
5037179817	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/462710878/original.jpg	https://www.inaturalist.org/photos/462710878					2025-01-09T20:16:12Z	lappuggla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	lappuggla
5037171482	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/463487598/original.jpg	https://www.inaturalist.org/photos/463487598					2025-01-12T10:57:44Z	Mikael Bauer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mikael Bauer
5008441672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461467658/original.jpeg	https://www.inaturalist.org/photos/461467658					2025-01-02T21:03:28Z	Tobias S. Radmer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tobias S. Radmer
5008365545	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458268955/original.jpg	https://www.inaturalist.org/photos/458268955					2024-12-20T19:12:42Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
5008175261	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/97539937/original.jpg	https://www.inaturalist.org/photos/97539937					2020-09-27T19:28:57Z	petersc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petersc
5008092357	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461467758/original.jpeg	https://www.inaturalist.org/photos/461467758					2025-01-02T21:15:16Z	Tobias S. Radmer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tobias S. Radmer
5007855201	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74767603/original.jpg	https://www.inaturalist.org/photos/74767603					2020-05-25T01:26:07Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
5007545837	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460367307/original.jpeg	https://www.inaturalist.org/photos/460367307					2024-12-28T19:32:16Z	Olaf Hakelberg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Olaf Hakelberg
5007498194	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459623488/original.jpg	https://www.inaturalist.org/photos/459623488					2024-12-26T20:46:44Z	Ekaterina Rozantseva		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ekaterina Rozantseva
4994473731	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/129778507/original.jpg	https://www.inaturalist.org/photos/129778507					2021-05-17T23:52:42Z	petersc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petersc
4994422402	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154886709/original.jpg	https://www.inaturalist.org/photos/154886709					2021-09-03T06:27:30Z	bertram_eskelund		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bertram_eskelund
