"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord","pos_fit_off","log_fit_off"
"TempWarm_5psu","VAT",NA,"cg","rel","weigh",1,4,NA,NA
"TempWarm_5psu","VIK",NA,"cg","rel","weigh",2,4,NA,NA
"TempControl_21psu","KUR",-0.411433483131999,"cf","rel","weigh",5,1,5.98496682439112,1.78925079586861
"TempControl_21psu","HOG",0,"cf","rel","weigh",3,1,6.39640030752312,1.85573538018068
"TempControl_21psu","VAT",-1.46365149941267,"cf","rel","weigh",1,1,4.93274880811045,1.5958964002396
"TempControl_21psu","BAR",0,"cf","rel","weigh",4,1,6.39640030752312,1.85573538018068
"TempControl_21psu","HOR",0,"cf","rel","weigh",7,1,6.39640030752312,1.85573538018068
"TempControl_21psu","BJO",0,"cf","rel","weigh",8,1,6.39640030752312,1.85573538018068
"TempControl_21psu","VIK",-0.701622554568851,"cf","rel","weigh",2,1,5.69477775295427,1.73954957119547
"TempControl_21psu","KAL",-1.59203187858662,"cf","rel","weigh",6,1,4.8043684289365,1.56952559339539
"TempControl_7psu","HOG",-1.97934100590372,"cf","rel","weigh",3,2,4.41705930161941,1.48547415829275
"TempControl_7psu","KUR",0,"cf","rel","weigh",5,2,6.39640030752312,1.85573538018068
"TempControl_7psu","BAR",1.30087330699471,"cf","rel","weigh",4,2,7.69727361451784,2.04086619012327
"TempControl_7psu","VAT",0,"cf","rel","weigh",1,2,6.39640030752312,1.85573538018068
"TempControl_7psu","KAL",0,"cf","rel","weigh",6,2,6.39640030752312,1.85573538018068
"TempControl_7psu","HOR",-2.54968361770266,"cf","rel","weigh",7,2,3.84671668982046,1.34721997661337
"TempControl_7psu","VIK",0,"cf","rel","weigh",2,2,6.39640030752312,1.85573538018068
"TempControl_7psu","BJO",-1.31260519807712,"cf","rel","weigh",8,2,5.083795109446,1.62605805146199
"TempWarm_16psu","HOG",1.33579770287111,"cf","rel","weigh",3,3,7.73219801039424,2.04539317022591
"TempWarm_16psu","KAL",-2.36082799617672,"cf","rel","weigh",6,3,4.0355723113464,1.39514812842894
"TempWarm_16psu","BAR",-4.89635753913437,"cf","rel","weigh",4,3,1.50004276838875,0.405493619960865
