"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord"
"TempWarm_16psu","VAT",-0.7,"cg","rel","surv",1,3
"TempWarm_16psu","KAL",-2.36082799617672,"cf","rel","weigh",6,3
"TempWarm_16psu","BJO",-0.583333333333333,"cf","rel","surv",8,3
"TempWarm_16psu","KUR",0.083333333333334,"cf","abs","surv",5,3
"TempWarm_16psu","VIK",-0.109256607832433,"cf","rel","len",2,3
"TempWarm_16psu","BAR",-4.89635753913437,"cf","rel","weigh",4,3
"TempWarm_16psu","VAT",0.18939393939394,"cf","abs","surv",1,3
"TempWarm_16psu","KUR",-1.6682691108559,"cf","abs","len",5,3
"TempWarm_16psu","HOG",-0.266666666666666,"cf","rel","surv",3,3
"TempWarm_16psu","VIK",0.545793821210808,"cf","rel","weigh",2,3
"TempWarm_16psu","HOR",-0.272727272727273,"cf","rel","surv",7,3
"TempWarm_16psu","VAT",2.27272727272728,"cf","rel","surv",1,3
"TempWarm_16psu","KAL",0.083333333333333,"cf","abs","surv",6,3
"TempWarm_16psu","VIK",2.08769169433575,"cg","rel","weigh",2,3
"TempWarm_16psu","VIK",0.333333333333333,"cf","rel","surv",2,3
"TempWarm_16psu","VIK",0.25,"cf","abs","surv",2,3
"TempWarm_16psu","KAL",-0.11549226429503,"cg","rel","len",6,3
"TempWarm_16psu","VAT",3.40823791160705,"cg","rel","weigh",1,3
"TempWarm_16psu","BJO",-1.39497677473376,"cf","abs","len",8,3
"TempWarm_16psu","KAL",-0.320835790285582,"cf","rel","len",6,3
"TempWarm_16psu","KUR",-0.462503161829288,"cg","rel","weigh",5,3
"TempWarm_16psu","VAT",-0.636363636363636,"cg","abs","surv",1,3
"TempWarm_16psu","HOR",-0.25,"cf","abs","surv",7,3
"TempWarm_16psu","BAR",-0.325757575757576,"cg","abs","surv",4,3
"TempWarm_16psu","BAR",-0.416666666666667,"cf","abs","surv",4,3
"TempWarm_16psu","HOG",-0.211077658675678,"cf","rel","len",3,3
"TempWarm_16psu","HOR",2.541891858168,"cg","rel","len",7,3
"TempWarm_16psu","VAT",0.714470923412101,"cf","abs","len",1,3
"TempWarm_16psu","KAL",0.149093550936116,"cg","rel","weigh",6,3
"TempWarm_16psu","KAL",-0.159090909090909,"cg","abs","surv",6,3
"TempWarm_16psu","HOR",-0.54896509793252,"cf","abs","len",7,3
"TempWarm_16psu","VAT",-0.82599418150851,"cg","abs","len",1,3
"TempWarm_16psu","HOG",-0.266666666666666,"cg","rel","surv",3,3
"TempWarm_16psu","HOR",1.368711000552,"cg","abs","len",7,3
"TempWarm_16psu","KUR",2.2849224193175,"cg","abs","len",5,3
"TempWarm_16psu","KUR",4.00000000000001,"cg","rel","surv",5,3
"TempWarm_16psu","VAT",-0.438592899184703,"cg","abs","weigh",1,3
"TempWarm_16psu","KUR",4.24342735016107,"cg","rel","len",5,3
"TempWarm_16psu","HOR",-0.223507465410244,"cf","rel","len",7,3
"TempWarm_16psu","KUR",-1.18091747610598,"cf","rel","weigh",5,3
"TempWarm_16psu","BJO",-0.583333333333333,"cf","abs","surv",8,3
"TempWarm_16psu","HOR",0.583333333333334,"cg","abs","surv",7,3
"TempWarm_16psu","BAR",-0.368653264933504,"cg","rel","len",4,3
"TempWarm_16psu","HOR",0.826789682166718,"cg","rel","weigh",7,3
"TempWarm_16psu","BJO",-3.46241960507821,"cf","rel","weigh",8,3
"TempWarm_16psu","BJO",0.333333333333334,"cg","abs","surv",8,3
"TempWarm_16psu","HOG",1.33579770287111,"cg","rel","weigh",3,3
"TempWarm_16psu","VIK",0.916666666666667,"cg","abs","surv",2,3
"TempWarm_16psu","HOR",-0.294648877869966,"cf","abs","weigh",7,3
"TempWarm_16psu","VIK",-0.119315052531799,"cf","abs","weigh",2,3
"TempWarm_16psu","VIK",1.9705522089258,"cg","rel","len",2,3
"TempWarm_16psu","BAR",-0.06895844721074,"cg","abs","weigh",4,3
"TempWarm_16psu","HOG",-0.171898618119138,"cg","abs","weigh",3,3
"TempWarm_16psu","VIK",-0.209237223956799,"cg","abs","weigh",2,3
"TempWarm_16psu","BJO",-0.524913814534136,"cf","rel","len",8,3
"TempWarm_16psu","VIK",11,"cg","rel","surv",2,3
"TempWarm_16psu","VAT",4.18337296210444,"cf","rel","weigh",1,3
"TempWarm_16psu","KUR",-0.371415397708556,"cf","rel","len",5,3
"TempWarm_16psu","HOG",-0.242424242424242,"cg","abs","surv",3,3
"TempWarm_16psu","VAT",-0.397317617789881,"cg","rel","len",1,3
"TempWarm_16psu","KAL",-0.256535924920709,"cf","abs","weigh",6,3
"TempWarm_16psu","BAR",-0.76640309464008,"cg","abs","len",4,3
"TempWarm_16psu","VAT",-0.4578369550801,"cf","abs","weigh",1,3
"TempWarm_16psu","VIK",1.06106657403697,"cg","abs","len",2,3
"TempWarm_16psu","HOR",-3.11069451205934,"cf","rel","weigh",7,3
"TempWarm_16psu","HOG",-0.242424242424242,"cf","abs","surv",3,3
"TempWarm_16psu","KAL",-0.175,"cg","rel","surv",6,3
"TempWarm_16psu","KUR",0.333333333333334,"cg","abs","surv",5,3
"TempWarm_5psu","HOR",-1,"cg","rel","surv",7,4
"TempWarm_5psu","HOG",-0.75923853422036,"cf","abs","len",3,4
"TempWarm_5psu","BAR",-0.916666666666667,"cf","abs","surv",4,4
"TempWarm_5psu","KAL",-2.79705077967419,"cf","rel","weigh",6,4
"TempWarm_5psu","HOR",NA,"cf","abs","len",7,4
"TempWarm_5psu","HOG",-1.13644952778427,"cg","abs","len",3,4
"TempWarm_5psu","HOG",-0.909090909090909,"cg","rel","surv",3,4
"TempWarm_5psu","BAR",-0.744999718235481,"cg","rel","len",4,4
"TempWarm_5psu","BJO",NA,"cf","abs","len",8,4
"TempWarm_5psu","HOR",NA,"cf","rel","len",7,4
"TempWarm_5psu","KAL",-0.303937436346886,"cf","abs","weigh",6,4
"TempWarm_5psu","KAL",-0.289995149105319,"cg","abs","weigh",6,4
"TempWarm_5psu","KUR",-1,"cg","rel","surv",5,4
"TempWarm_5psu","VAT",NA,"cg","abs","weigh",1,4
"TempWarm_5psu","KUR",NA,"cf","abs","weigh",5,4
"TempWarm_5psu","BAR",-3.88936437795368,"cg","rel","weigh",4,4
"TempWarm_5psu","BAR",-1.82982184747238,"cg","abs","len",4,4
"TempWarm_5psu","KUR",NA,"cf","rel","weigh",5,4
"TempWarm_5psu","HOR",-1,"cf","rel","surv",7,4
"TempWarm_5psu","BAR",-2.21023072084488,"cf","abs","len",4,4
"TempWarm_5psu","BJO",NA,"cf","rel","weigh",8,4
"TempWarm_5psu","BAR",-0.779197771940166,"cf","rel","len",4,4
"TempWarm_5psu","BJO",NA,"cf","rel","len",8,4
"TempWarm_5psu","BAR",-6.39540030752312,"cf","rel","weigh",4,4
"TempWarm_5psu","HOG",-0.365206986325008,"cf","rel","len",3,4
"TempWarm_5psu","HOR",NA,"cg","rel","len",7,4
"TempWarm_5psu","BAR",-0.916666666666667,"cf","rel","surv",4,4
"TempWarm_5psu","BJO",NA,"cg","abs","weigh",8,4
"TempWarm_5psu","BJO",-1,"cf","abs","surv",8,4
"TempWarm_5psu","HOR",-0.75,"cg","abs","surv",7,4
